n_workers,n_threads,load_time,rotation_time,mapping_time,compute_time,total_time
1,8,12.617675304412842,0.026809215545654297,0.0014886856079101562,14.596028804779053,27.24235701560974
1,7,10.980205059051514,0.020067930221557617,0.001323699951171875,14.149489879608154,25.15231418609619
1,6,11.064289808273315,0.02022385597229004,0.0012743473052978516,13.285675764083862,24.37208604812622
1,5,9.47937822341919,0.019057750701904297,0.0012137889862060547,13.0293288230896,22.530997276306152
1,4,9.319416284561157,0.019973278045654297,0.00512242317199707,12.924638748168945,22.269490480422974
1,3,8.630130529403687,0.019185304641723633,0.0009100437164306641,10.340020656585693,18.991111993789673
1,2,8.584377765655518,0.019739627838134766,0.0010712146759033203,11.19842529296875,19.805110216140747
1,1,8.43886661529541,0.020519256591796875,0.001592874526977539,8.332780361175537,16.79477882385254
2,8,5.880816459655762,0.01955580711364746,0.009306669235229492,18.20379400253296,24.113869190216064
2,7,6.135789394378662,0.019747018814086914,0.0019335746765136719,6.780851602554321,12.939149618148804
2,6,5.733591556549072,0.021878957748413086,0.00854039192199707,6.986825227737427,12.751181602478027
2,5,5.6826982498168945,0.0203554630279541,0.0008406639099121094,6.020473957061768,11.72535514831543
2,4,5.944105386734009,0.020572423934936523,0.0011065006256103516,6.157769441604614,12.123961925506592
2,3,5.7958457469940186,0.0197446346282959,0.0009038448333740234,6.460482835769653,12.277735948562622
2,2,5.660132169723511,0.018666982650756836,0.005414485931396484,6.63027286529541,12.315796375274658
2,1,5.520697593688965,0.020247697830200195,0.001409769058227539,5.513223886489868,11.056006908416748
3,8,5.891939401626587,0.019966840744018555,0.001046895980834961,6.954426050186157,12.867796897888184
3,7,5.674100399017334,0.019938230514526367,0.0008053779602050781,6.754231929779053,12.449384927749634
3,6,5.691397190093994,0.02036118507385254,0.0008575916290283203,6.608815670013428,12.322118759155273
3,5,5.572373867034912,0.019074678421020508,0.00089263916015625,6.681044101715088,12.273722648620605
3,4,5.71901273727417,0.019507408142089844,0.0009210109710693359,6.765180826187134,12.505252599716187
3,3,5.648054122924805,0.02034282684326172,0.0009541511535644531,6.453380346298218,12.123079061508179
3,2,5.82690167427063,0.020475387573242188,0.001013040542602539,6.802531957626343,12.651288270950317
3,1,5.851648330688477,0.020389556884765625,0.0009400844573974609,4.203462839126587,10.076761484146118
4,8,5.738218545913696,0.020116567611694336,0.0009062290191650391,3.9041833877563477,9.663870096206665
4,7,5.903649568557739,0.02025318145751953,0.0008647441864013672,3.924208879470825,9.84940218925476
4,6,5.77151894569397,0.02012944221496582,0.0008022785186767578,3.8764541149139404,9.669552326202393
4,5,5.569330215454102,0.019678115844726562,0.0006625652313232422,3.759533643722534,9.349579334259033
4,4,5.911103010177612,0.020110607147216797,0.0008955001831054688,3.643030881881714,9.576772451400757
4,3,5.665040016174316,0.01958775520324707,0.0008754730224609375,3.69208025932312,9.377899169921875
4,2,5.66539192199707,0.019150257110595703,0.0009748935699462891,3.5609614849090576,9.247527599334717
4,1,5.696333885192871,0.02001166343688965,0.0007750988006591797,3.602617025375366,9.32014536857605
5,8,8.99719762802124,0.02052450180053711,0.00106048583984375,4.648510694503784,13.6683509349823
5,7,8.170504570007324,0.020086050033569336,0.0008866786956787109,4.41694188117981,12.608881711959839
5,6,8.40221381187439,0.019281625747680664,0.0008537769317626953,4.330275774002075,12.753141403198242
5,5,8.646141767501831,0.019622087478637695,0.0006515979766845703,4.278728485107422,12.945451021194458
5,4,8.700770378112793,0.01914381980895996,0.0006430149078369141,4.251352548599243,12.972283601760864
5,3,7.772863864898682,0.021288156509399414,0.001004934310913086,4.415077209472656,12.210549592971802
5,2,7.942674160003662,0.02037501335144043,0.0012598037719726562,4.329061269760132,12.294835567474365
5,1,5.936182260513306,0.020021915435791016,0.0009450912475585938,4.201891183853149,10.159346103668213
6,8,5.772324323654175,0.019948482513427734,0.0009570121765136719,4.940420627593994,10.73445463180542
6,7,8.328049898147583,0.020532608032226562,0.0009708404541015625,4.944173336029053,13.294236421585083
6,6,8.558271408081055,0.02191925048828125,0.0007016658782958984,4.916942596435547,13.49848747253418
6,5,8.044490814208984,0.020218849182128906,0.0011582374572753906,4.774383068084717,12.840869426727295
